Team,Name,Nationality,BattingStyle,BowlingStyle,YearSigned,Notes
Mumbai Indians,suryakumar yadav,India,Right-hand bat,Right-arm offbreak,2018,Retained hitter
Mumbai Indians,hardik pandya,India,Right-hand bat,Right-arm medium-fast,2024,Retained all-rounder & vice-captain
Mumbai Indians,tilak varma,India,Left-hand bat,Right-arm offbreak,2022,Retained promise
Mumbai Indians,trent boult,New Zealand,Right-hand bat,Left-arm medium-fast,2025,Overseas pace
Mumbai Indians,jasprit bumrah,India,Right-hand bat,Right-arm medium-fast,2013,Retained death bowler
Mumbai Indians,deepak chahar,India,Right-hand bat,Right-arm medium-fast,2025,Pacer
Mumbai Indians,mitchell santner,New Zealand,Left-hand bat,Left-arm orthodox,2025,Overseas spinner
Mumbai Indians,ryan rickelton,South Africa,Left-hand bat,,2025,Overseas batter
Mumbai Indians,kl shrijith,India,Left-hand bat,,2025,Domestic batter
Mumbai Indians,robin minz,India,Left-hand bat,Slow left-arm orthodox,2025,Domestic wicketkeeper-batter
Mumbai Indians,satyanarayana raju,India,Right-hand bat,Right-arm medium-fast,2025,Domestic pacer
Mumbai Indians,arjun tendulkar,India,Left-hand bat,Left-arm medium-fast,2021,Domestic all-rounder
Mumbai Indians,ashwani kumar,India,Left-hand bat,Left-arm medium-fast,2025,Domestic pacer
Mumbai Indians,karn sharma,India,Left-hand bat,Right-arm legbreak,2025,Spinner
Mumbai Indians,vignesh puthur,India,Left-hand bat,Left-arm unorthodox,2025,Domestic spinner
Mumbai Indians,bevon jacobs,South Africa,Right-hand bat,Right-arm medium-fast,2025,Overseas pacer
Mumbai Indians,lizaad williams,South Africa,Left-hand bat,Right-arm medium-fast,2025,Overseas pacer
Mumbai Indians,will jacks,England,Right-hand bat,Right-arm offbreak,2025,Overseas all-rounder (later replaced)
Mumbai Indians,corbin bosch,South Africa,Right-hand bat,Right-arm medium-fast,2025,Overseas all-rounder (later replaced)
Mumbai Indians,mujeeb ur rahman,Afghanistan,Right-hand bat,Right-arm offbreak,2025,Overseas spinner (replacement)
Mumbai Indians,jonny bairstow,England,Right-hand bat,,2025,Overseas wicketkeeper-batter (replacement)
Mumbai Indians,richard gleeson,England,Right-hand bat,Right-arm fast,2025,Overseas pacer (replacement)
Mumbai Indians,charith asalanka,Sri Lanka,Right-hand bat,,2025,Overseas batter (replacement)
Punjab Kings,shreyas iyer,India,Right-handed bat,,2025,Team captain
Punjab Kings,priyansh arya,India,Left-handed bat,Right-arm offbreak,2025,Uncapped domestic player
Punjab Kings,prabhsimran singh,India,Right-handed bat,,2022,Retained wicketkeeper-batter
Punjab Kings,josh inglis,Australia,Right-handed bat,,2025,Overseas wicketkeeper-batter
Punjab Kings,nehal wadhera,India,Left-handed bat,,2025,Domestic top-order batter
Punjab Kings,shashank singh,India,Right-handed bat,Right-arm medium,2025,Domestic batting all-rounder
Punjab Kings,marcus stoinis,Australia,Right-handed bat,Right-arm medium-fast,2025,Overseas all-rounder
Punjab Kings,azmatullah omarzai,Afghanistan,Right-handed bat,Right-arm medium-fast,2025,Overseas seam-bowling all-rounder
Punjab Kings,yuzvendra chahal,India,Right-handed bat,Right-arm legbreak,2025,Experienced leg-spinner
Punjab Kings,arshdeep singh,India,Left-handed bat,Left-arm medium-fast,2019,Key retained left-arm pacer
Punjab Kings,lockie ferguson,New Zealand,Right-handed bat,Right-arm fast,2025,Overseas fast bowler
Punjab Kings,aaron hardie,Australia,Right-handed bat,Right-arm medium,2025,Overseas all-rounder
Punjab Kings,marco jansen,South Africa,Left-handed bat,Left-arm fast,2025,Tall overseas pacer
Punjab Kings,glenn maxwell,Australia,Right-handed bat,Right-arm offbreak,2025,Explosive overseas all-rounder
Punjab Kings,kuldeep sen,India,Right-handed bat,Right-arm fast-medium,2025,Domestic fast bowler
Punjab Kings,suryansh shedge,India,Right-handed bat,Right-arm medium,2025,Domestic all-rounder
Punjab Kings,pyla avinash,India,Right-handed bat,Right-arm medium,2025,Uncapped domestic player
Punjab Kings,harpreet brar,India,Left-handed bat,Left-arm orthodox,2021,Retained spin all-rounder
Punjab Kings,musheer khan,India,Left-handed bat,Right-arm spin,2025,U-19 India all-rounder
Punjab Kings,harnoor singh,India,Left-handed bat,,2025,U-19 India batter
Punjab Kings,yash thakur,India,Right-handed bat,Right-arm fast,2025,Domestic fast bowler
Punjab Kings,vishnu vinod,India,Right-handed bat,,2025,Backup wicketkeeper-batter
Punjab Kings,kyle jamieson,New Zealand,Right-handed bat,Right-arm fast,2025,Overseas fast bowling option
Rajasthan Royals,sanju samson,India,Right-handed bat,Right‑arm offbreak,2018,Retained captain & wicket‑keeper
Rajasthan Royals,riyan parag,India,Right-handed bat,Right‑arm legbreak,2019,Stand‑in captain during Samson’s injury
Rajasthan Royals,shubham dubey,India,Left-handed bat,Right‑arm offbreak,2024,Domestic batter bought at auction
Rajasthan Royals,shimron hetmyer,West Indies,Left-handed bat,Right‑arm legbreak,2022,Retained overseas batter
Rajasthan Royals,yashasvi jaiswal,India,Left-handed bat,Right‑arm legbreak,2020,Retained opening batter
Rajasthan Royals,vaibhav suryavanshi,India,Left-handed bat,Left‑arm orthodox,2025,Youngest debutant & century-maker at 14
Rajasthan Royals,lhuan‑dre pretorius,South Africa,Left-handed bat,,2025,Injury replacement for Nitish Rana
Rajasthan Royals,dhruv jurel,India,Right-handed bat,Right‑arm medium‑fast,2023,Retained wicket‑keeper batter
Rajasthan Royals,kunal singh rathore,India,Left-handed bat,Right‑arm offbreak,2022,Domestic wicket‑keeper batter (uncapped)
Rajasthan Royals,nitish rana,India,Left-handed bat,Right‑arm offbreak,2025,Withdrawn due to injury before start
Rajasthan Royals,yudhvir singh,India,Right-handed bat,Right‑arm medium‑fast,2025,Domestic all‑rounder bought at auction
Rajasthan Royals,sandeep sharma,India,Right-handed bat,Right‑arm medium‑fast,2023,Withdrawn due to injury pre-season
Rajasthan Royals,nandre burger,South Africa,,Left‑arm fast‑medium,2025,Replacement for injured Sandeep Sharma
Rajasthan Royals,akash madhwal,India,Right-handed bat,Right‑arm medium‑fast,2025,Pace bowler bought at auction
Rajasthan Royals,jofra archer,England,Right-handed bat,Right‑arm fast,2025,Overseas lead pacer (auction signing)
Rajasthan Royals,tushar deshpande,India,Left-handed bat,Right‑arm medium‑fast,2025,Domestic pacer (auction signing)
Rajasthan Royals,fazalhaq farooqi,Afghanistan,Right-handed bat,Left‑arm medium‑fast,2025,Overseas left‑arm seamer (auction)
Rajasthan Royals,maheesh theekshana,Sri Lanka,Right-handed bat,Right‑arm offbreak,2025,Overseas spin specialist (auction signing)
Rajasthan Royals,kumar kartikeya,India,Right-handed bat,Left‑arm unorthodox,2025,Domestic spinner bought at auction
Rajasthan Royals,wanindu hasaranga,Sri Lanka,Right-handed bat,Right‑arm legbreak,2025,Overseas all‑rounder (auction signing)
Rajasthan Royals,kwena maphaka,South Africa,Left-handed bat,Left‑arm medium‑fast,2025,Overseas seam‑bowling all‑rounder
Rajasthan Royals,ashok sharma,India,Right-handed bat,Right‑arm medium‑fast,2025,Domestic pace bowler bought at auction
Royal Challengers Bengaluru,jacob bethell,International,Left-handed,Left-arm orthodox,2025,Overseas
Royal Challengers Bengaluru,tim david,International,Right-handed,Right-arm off-break,2025,Overseas
Royal Challengers Bengaluru,suyash sharma,India,Right-handed,Right-arm leg-break,2025,
Royal Challengers Bengaluru,abhinandan singh,India,Right-handed,Right-arm fast-medium,2025,
Royal Challengers Bengaluru,bhuvneshwar kumar,India,Right-handed,Right-arm medium,2025,
Royal Challengers Bengaluru,romario shepherd,International,Right-handed,Right-arm fast-medium,2025,Overseas
Royal Challengers Bengaluru,virat kohli,India,Right-handed,Right-arm medium,2008,
Royal Challengers Bengaluru,lungi ngidi,International,Right-handed,Right-arm fast-medium,2025,Overseas
Royal Challengers Bengaluru,liam livingstone,International,Right-handed,Right-arm off-break,2025,Overseas
Royal Challengers Bengaluru,swapnil singh,India,Right-handed,Left-arm orthodox,2024,
Royal Challengers Bengaluru,krunal pandya,India,Left-handed,Left-arm orthodox,2025,
Royal Challengers Bengaluru,phil salt,International,Right-handed,,2025,Overseas
Royal Challengers Bengaluru,devdutt padikkal,India,Left-handed,Right-arm off-break,2025,
Royal Challengers Bengaluru,josh hazlewood,International,Right-handed,Right-arm fast-medium,2025,Overseas
Royal Challengers Bengaluru,rasikh salam,India,Right-handed,Right-arm medium,2025,
Royal Challengers Bengaluru,nuwan thushara,International,Right-handed,Right-arm fast-medium,2025,Overseas
Royal Challengers Bengaluru,jitesh sharma,India,Right-handed,,2025,
Royal Challengers Bengaluru,rajat patidar,India,Right-handed,Right-arm off-break,2022,Captain
Royal Challengers Bengaluru,swastik chikara,India,Right-handed,Right-arm off-break,2025,
Royal Challengers Bengaluru,yash dayal,India,Right-handed,Left-arm medium-fast,2024,
Royal Challengers Bengaluru,manoj bhandage,India,Left-handed,Right-arm medium-fast,2023,
Royal Challengers Bengaluru,mayank agarwal,India,Right-handed,Right-arm off-break,2025,Mid-season replacement for Devdutt Padikkal
Royal Challengers Bengaluru,tim seifert,International,,,2025,Temporary replacement for Jacob Bethell
Royal Challengers Bengaluru,blessing muzarabani,International,,,2025,Temporary replacement for Lungi Ngidi
Sunrisers Hyderabad,pat cummins,Australia,Right-handed,Right arm fast,2024,Captain; Overseas
Sunrisers Hyderabad,travis head,Australia,Left-handed,Right-arm off break,2024,Overseas
Sunrisers Hyderabad,heinrich klaasen,South Africa,Right-handed,Right-arm off spin,2023,Overseas; Wicket‑keeper
Sunrisers Hyderabad,ishan kishan,India,Left-handed,,2025,Overseas?; Wicket‑keeper
Sunrisers Hyderabad,sachin baby,India,Left-handed,Right-arm off break,2025,
Sunrisers Hyderabad,abhinav manohar,India,Right-handed,Right-arm leg break,2025,
Sunrisers Hyderabad,atharva taide,India,Left-handed,Left-arm orthodox,2025,
Sunrisers Hyderabad,aniket verma,India,Right-handed,Right arm medium-fast,2025,
Sunrisers Hyderabad,smaran ravichandran,India,Left-handed,Right-arm off break,2025,Replacement for Adam Zampa
Sunrisers Hyderabad,heinrich klaasen,South Africa,Right-handed,Right-arm off spin,2023,Overseas
Sunrisers Hyderabad,harshal patel,India,Right-handed,Right-arm medium-fast,2025,
Sunrisers Hyderabad,wiaan mulder,South Africa,Right-handed,Right-arm medium-fast,2025,Overseas; Replacement for Brydon Carse
Sunrisers Hyderabad,kamindu mendis,Sri Lanka,Right-handed,Right-arm off break,2025,Overseas
Sunrisers Hyderabad,abhishek sharma,India,Left-handed,Left-arm orthodox,2019,
Sunrisers Hyderabad,harsh dubey,India,Left-handed,Left-arm orthodox,2025,Replacement for Smaran Ravichandran
Sunrisers Hyderabad,nitish kumar reddy,India,Right-handed,Right-arm medium-fast,2023,
Sunrisers Hyderabad,mohammed shami,India,Right-handed,Right arm medium-fast,2025,
Sunrisers Hyderabad,jaydev unadkat,India,Right-handed,Left-arm medium-fast,2024,
Sunrisers Hyderabad,simarjeet singh,India,Right-handed,Right arm medium-fast,2025,
Sunrisers Hyderabad,eshan malinga,Sri Lanka,Right-handed,Right-arm fast-medium,2025,Overseas
Sunrisers Hyderabad,rahul chahar,India,Right-handed,Right-arm leg break,2025,
Sunrisers Hyderabad,zeeshan ansari,India,Right-handed,Right-arm leg break,2025,
Sunrisers Hyderabad,adam zampa,Australia,Right-handed,Right arm leg spin,2025,Withdrawn; Overseas
